ABERDEEN: VIA FIRENZE, 48: 2:41.9025257:12.4940037
EXCEL NAVONA: VIA DELL'ORSO, 38: 3:41.9018615:12.473866
EXCEL ROMA MONTEMARIO: VIA DEGLI SCOLOPI, 31: 4:41.9326304:12.4336466
EXCEL ST. PETER: VIA CATONE, 34: 3:41.90757:12.45883
EXECUTIVE: VIA ANIENE, 3: 4:41.91164:12.49776
EXECUTIVE STYLE HOTEL: VIA DI TORRE ROSSA, 80: 4:41.8917572:12.4268979
FAMILY HOUSE: VIA BIXIO, 72: 1:41.8929341:12.5080688
FARINI: VIA FARINI, 52: 1:41.8985071:12.4994729
FARNESE: VIA ALESSANDRO FARNESE, 30: 2:41.9114155:12.4675457
FARNESINA: VIA DELLA FARNESINA, 23/A: 3:41.9385387:12.46424
FAWLTY TOWERS: VIA MAGENTA, 39: 2:41.90231:12.50393
FELICE: VIA TIBURTINA, 30: 2:41.9133226:12.5567922
FENICIA: VIA MILAZZO, 20: 2:41.9021618:12.5045551
FENIX: VIALE GORIZIA, 5: 4:41.9187064:12.5142207
FERRARESE: VIA PRINCIPE AMEDEO, 76: 2:41.898963:12.5002906
FERRARI: VIA GIOVANNI AMENDOLA, 95: 2:41.8994039:12.5007809
FERRARO: VIA CAVOUR, 266: 2:41.8936259:12.4897271
FIAMMA: VIA GAETA, 61: 3:41.9040875:12.4996611
FIESTA: VIA CAIROLI, 101: 1:41.894268:12.507883
FIORENZA: VIA DEI MILLE, 64: 1:41.9020276:12.5054579
FIORI: VIA NAZIONALE, 163: 2:41.8969071:12.4872772
FIRENZE: VIA DEI DUE MACELLI, 106: 2:41.9033764:12.4850967
FIUME: VIA BRESCIA, 5: 4:41.9114799:12.5000217
FLAMINIUS: VIA FRASSINETO, 23: 3:41.9986655:12.4956465
FLAVIA: VIA FLAVIA, 38A: 2:41.9065524:12.4963185
FLEMING: PIAZZA MONTELEONE DI SPOLETO, 20: 4:41.943721:12.4747118
FLORIDA: VIA COLA DI RIENZO, 243: 2:41.9071069:12.4615593
FLORIDIA: VIA MONTEBELLO, 45: 3:41.9059699:12.5007296
FLORIS HOTEL: VIA NAZIONALE, 251: 3:41.9017862:12.4947275
FLOWER GARDEN: VIA DEL VIMINALE, 7-11: 2:41.9010947:12.4969432
FONTANA: PIAZZA DI TREVI, 96: 3:41.9010652:12.4829257
FONTANELLA BORGHESE: LARGO DELLA FONTANELLA DI BORGHESE, 84: 3:41.90364:12.47676
FORI IMPERIALI DI CAVALIERI: VIA FRANGIPANE, 34: 3:41.8931428:12.4895368
FORO ROMANO IMPERATORI: VIA CAVOUR, 294: 1:41.8935641:12.4894005
FORTE: VIA MARGUTTA, 61: 3:41.9073967:12.4808336
FORTYSEVEN: VIA LUIGI PETROSELLI, 47: 4:41.8899343:12.4809946
FOYER PHAT DIEN: VIA EUGENIO IV, 9: 1:41.9093121:12.4244571
FRAGRANCE HOTEL ST. PETER: VIA DI MONTE DEL GALLO, 36: 3:41.8964475:12.451126
FRANKLIN: VIA RODI, 29: 4:41.9126209:12.4531845
GABRIELE: VIA PRINCIPE AMEDEO, 76: 1:41.898963:12.5002906
GABRIELLA: VIA PALESTRO, 88: 3:41.903285:12.5064458
GALATEA: VIA GENOVA, 24: 3:41.8992119:12.4922458
GALENO: VIA DEI VILLINI, 10: 2:41.910775:12.5065701
GALILEO: VIA PALESTRO, 33-35: 3:41.9058283:12.5031002
GALLES: VIALE CASTRO PRETORIO, 66: 3:41.9045995:12.5060409
GALLI: VIA MILAZZO, 20: 2:41.9021618:12.5045551
GALLIA: VIA DI S. MARIA MAGGIORE, 143: 4:41.897467:12.4971422
GAMBRINUS: VIA PIAVE, 29: 4:41.9095673:12.4984661
GEA DI VULCANO: VIA NAZIONALE, 243: 3:41.9013938:12.4941845
GELSOMINO HOTEL: LARGO TOMASO PERASSI, 10: 3:41.8892962:12.4106033
GENIO: VIA GIUSEPPE ZANARDELLI, 28: 4:41.9008059:12.4723189
GENOVA: VIA CAVOUR, 25: 4:41.8998399:12.4984921
GEO: CIRCONVALLAZIONE CASILINA, 41/49: 3:41.8901763:12.5279793
GERBER: VIA DEGLI SCIPIONI, 241: 3:41.9105521:12.4659091
GIADA: VIA PRINCIPE AMEDEO, 9: 3:41.9000685:12.4982588
GIAMAICA: VIA MAGENTA, 13: 1:41.9034008:12.5024365
GIARDINO D'EUROPA: VIA LUCREZIA ROMANA, 95: 3:41.8288038:12.5818806
GIGLIO DELL'OPERA: VIA PRINCIPE AMEDEO, 14: 3:41.9001207:12.4983101
GINEVRA: VIA LUIGI PIANCIANI, 17: 2:41.8929646:12.5085791
GIOBERTI: VIA GIOBERTI, 20: 4:41.8994557:12.5013374
GIOLITTI: VIA GIOVANNI GIOLITTI, 417: 2:41.8934092:12.512119
GIOLLI: VIA NAZIONALE, 69: 3:41.8993071:12.4912502
GIORGI: VIA MAGENTA, 13: 3:41.9034008:12.5024365
GIORGINA: VIA PRINCIPE AMEDEO, 67/69: 2:41.8988876:12.500188
GIOTTO: VIA CARDINAL PASSIONEI, 35: 3:41.8723889:12.4801802
GIOTTO FLAVIA: VIA FLAVIA, 84: 2:41.9072855:12.4973222
GIUBILEO: VIA CARLO ALBERTO, 13: 2:41.89697:12.49994
GIUGGIOLI: VIA GERMANICO, 198: 2:41.9091417:12.463005
GIUGIU: VIA DEL VIMINALE, 8: 1:41.8999363:12.4953087
GIULIANA: VIA AGOSTINO DEPRETIS, 70: 2:41.8993365:12.4956356
GIULIETTA E ROMEO: VIA ERACLITO DI EFESO, 23: 2:41.7468:12.35756
GIULIO CESARE: VIA DEGLI SCIPIONI, 287: 4:41.9114998:12.4696174
GLOBUS: VIALE IPPOCRATE, 119: 3:41.90709:12.5178
GLORIA: VIA GIOBERTI, 30: 1:41.8988934:12.500825
GOLDEN: VIA MARCHE, 84: 2:41.90929:12.49003
GOLDEN TULIP BELLAMBRIANA: VIA LUCA PASSI, 4-6: 4:41.8963489:12.4102624
GP HOTEL: VIA GIORGIO PERLASCA, 50: 4:41.9005487:12.5724881
GRAND HOTEL RITZ: VIA DOMENICO CHELINI, 41: 4:41.9264595:12.4818761
GRAND HOTEL TIBERIO: VIA LATTANZIO, 51: 4:41.9127368:12.4393976
GREEN: VIALE REGINA MARGHERITA, 255: 2:41.9116776:12.5085213
GREEN PARK HOTEL PAMPHILI: LARGO LORENZO MOSSA, 4: 4:41.8933835:12.4193329
GREGORIANA: VIA GREGORIANA, 18: 3:41.90532:12.48411
GRIFO: VIA DEL BOSCHETTO, 144: 2:41.89606:12.49084
H 10 ROMA CITTA': VIA PIETRO BLASERNA, s.n.c: 1:41.8659228:12.4713177
HALIFAX: VIA MILAZZO, 8-14: 2:41.9018004:12.5039385
HAMILTON: VIA PRINCIPE AMEDEO, 67: 1:41.8988876:12.500188
HARMONY: VIA PALESTRO, 13: 2:41.9074813:12.5011007
HDP-HOTEL DELLE PROVINCE: VIALE DELLE PROVINCIE, 103: 4:41.90889:12.52129
HEARTH HOTEL: VIA SANTAMAURA, 2: 3:41.9074792:12.4543369
HERMITAGE: VIA EUGENIO VAJNA, 12: 4:41.9298677:12.488631
HIBERIA: VIA VENTIQUATTRO MAGGIO, 7: 3:41.8971916:12.486874
HISTOIRE ROMANTIQUE: VIA PRINCIPE AMEDEO, 77A/C: 3:41.8985217:12.5007501
HOLIDAY INN EUR PARCO DEI MEDICI: VIALE CASTELLO DELLA MAGLIANA, 65: 4:41.8233324:12.4130637
HOLIDAY INN EXPRESS ROME SAN GIOVANNI: VIA ASSISI, 51-53: 3:41.8795275:12.5256474
HOLIDAY INN ROME WEST: VIA BOGLIASCO, 27: 4:41.8881125:12.4005502
HOLLYWOOD STELLA ELSA: VIA PRINCIPE AMEDEO, 79: 2:41.8984988:12.5007785
HOTEL ALBA TORRE MAURA: VIALE DI TORRE MAURA, 81: 3:41.8658289:12.5965158
HOTEL ALBANI: VIA ADDA, 41-45: 4:41.915401:12.4982721
HOTEL ALIMANDI VATICANO: VIALE VATICANO, 99: 4:41.90662:12.45112
HOTEL AMALIA VATICANO: VIA GERMANICO, 66: 3:41.9077905:12.4576192
HOTEL ANACAPRI: VIA MAGENTA, 10: 2:41.9035764:12.5025181
HOTEL ANTICA DIMORA DELLE CINQUE LUNE: VIA GIUSEPPE ZANARDELLI, 23: 3:41.9005625:12.4724512
HOTEL APPIA 442: VIA APPIA NUOVA, 442: 3:41.8747742:12.5224119
HOTEL AREA: VIA DEL FORTE OSTIENSE, 0: 4:41.8456101:12.4744734
HOTEL ART: VIA MARGUTTA, 56: 4:41.9077133:12.4806019
HOTEL BOUTIQUE NAZIONALE: VIA NAZIONALE, 66: 3:41.8993337:12.4913465
HOTEL BRIGHT: VIA PRENESTINA, 940/E: 3:41.89361:12.59573
HOTEL CAPANNELLE: VIA SIDERNO, 37: 4:41.8346897:12.5553845
HOTEL CARAVITA: VIA DEL CARAVITA, 5: 3:41.8992827:12.4802356
HOTEL CARMEN: VIA GIOVANNI AMENDOLA, 77: 2:41.8997195:12.5002673
HOTEL CLUB HOUSE ROMA: VIA ANDREA ALCIATO, 14/16: 4:41.9044762:12.4268381
HOTEL CONSULTA: VIA DELLA CONSULTA, 1/B: 1:41.8982746:12.4890529
HOTEL DARIVAL: VIA DEL CASALE DI S. BASILIO, 11: 3:41.9460464:12.5666096
HOTEL DE MONTI: VIA PANISPERNA, 95: 2:41.89709:12.49447
HOTEL DEGLI IMPERATORI: VIA GUIDO GONELLA, 15: 3:41.9472705:12.5885599
HOTEL DEI BORGIA: VIA PALERMO, 20: 4:41.8988862:12.4917744
HOTEL DEI BORGOGNONI: VIA DEL BUFALO, 126: 4:41.90278:12.48309
HOTEL DEI CONGRESSI: VIALE SHAKESPEARE, 29: 4:41.8303956:12.4732012
HOTEL DERBY: VIA DI VIGNA POZZI, 7: 3:41.8606776:12.4865041
HOTEL DIVINO AMORE: VIA DEL SANTUARIO, 80: 2:41.8522317:12.4825479
HOTEL DOMUS ROMANA: VIA DELLE QUATTRO FONTANE, 113: 4:41.9008348:12.4924716
HOTEL FABIO MASSIMO: VIALE GIULIO CESARE, 71: 3:41.910147:12.462267
HOTEL FELLINI: VIA RASELLA, 55-56: 3:41.9022911:12.4868838
HOTEL GARDA: VIA LOMBARDIA, 30: 3:41.9085067:12.4873078
HOTEL GIANICOLO: VIALE DELLE MURA GIANICOLENSI, 107: 4:41.8875838:12.4611816
HOTEL GRAVINA SAN PIETRO: VIA DELLA CAVA AURELIA, 17: 3:41.8960468:12.4504044
HOTEL HOMS: VIA DELLA VITE, 71-72: 4:41.9041522:12.482393
HOTEL INDEPENDENT: VIA VOLTURNO, 48: 4:41.904186:12.4999946
HOTEL INDIPENDENZA: VIA MAGENTA, 13: 1:41.9034008:12.5024365
HOTEL INDUSTRIAL: VIA TIBURTINA, 998: 2:41.9300108:12.5774926
HOTEL LA ROVERE: VICOLO DI S. ONOFRIO, 4-5: 4:41.8989107:12.4625645
HOTEL LATINUM: PIAZZA DI PORTA MAGGIORE, 11: 3:41.8917668:12.5140239
HOTEL LIRICO: VIA DEL VIMINALE, 31: 3:41.9001068:12.495409
HOTEL LUNETTA: PIAZZA DEL PARADISO, 68: 4:41.8959572:12.473532
HOTEL MANCINO 12: VIA DEL MANCINO, 12: 4:41.89747:12.48266
HOTEL MASSIMO: VIA PALESTRO, 35: 2:41.905773:12.5030686
HOTEL METROPOLIS ROMA: VIALE DELLE MILIZIE, 26: 4:41.91262:12.4633
HOTEL MIRTI: VIA DEI PLATANI, 101: 2:41.8811668:12.567415
HOTEL MODIGLIANI: VIA DELLA PURIFICAZIONE, 41-42: 3:41.9049923:12.4868934
HOTEL MOSAIC CENTRAL ROME: PIAZZA DEL VIMINALE, 5: 1:41.8999638:12.4935517
HOTEL MOSAIC ROME: VIA CERNAIA, 39: 1:41.9065772:12.5003662
HOTEL OPERA ROMA: VIA FIRENZE, 11: 3:41.9007408:12.4950568
HOTEL OXFORD: VIA BONCOMPAGNI, 89: 4:41.9092256:12.4961751
HOTEL PAISIELLO PARIOLI: VIA GIOVANNI PAISIELLO, 47: 2:41.9198143:12.4924966
HOTEL PARCO LA BORGHESIANA: VIA DELLA CAPANNA MURATA, 120: 4:41.87424:12.66766
HOTEL PICCHIERI: VIA FLAVIA, 84: 1:41.9072855:12.4973222
HOTEL PISA: VIA PIETRO MICCA, 10: 1:41.8933216:12.5113401
HOTEL POGGIO VERDE: VIA POGGIO VERDE, 31: 3:41.8475892:12.4109831
HOTEL PRINCESS: VIA ANDREA FERRARA, 33: 4:41.891959:12.4173415
HOTEL PRINCIPE TORLONIA PLATINUM COLLECTION: VIA CARLO FEA, 5: 4:41.9195382:12.5178517
HOTEL PULITZER: VIALE GUGLIELMO MARCONI, 905: 4:41.84721:12.4759384
HOTEL RE TESTA: VIA BENIAMINO FRANKLIN, 4: 3:41.8768554:12.4735888
HOTEL RELAIS DEI PAPI: VIA DEI GRACCHI, 161: 3:41.9083653:12.4642674
HOTEL RELAIS FONTANA DI TREVI: VIA DEL LAVATORE, 43/44: 3:41.9009106:12.4839053
HOTEL ROMA TIBURTINA METRO - non abilitata: VIA DI PONTE MAMMOLO, 28: 3:41.9242476:12.5707855
HOTEL ROMA VATICANO: VIA ATTILIO REGOLO, 19: 1:41.9083307:12.4647698
HOTEL SAINT MARTIN: VIA SAN MARTINO DELLA BATTAGLIA, 11: 1:41.9054472:12.5044599
HOTEL SANTA PRISCA: LARGO MANLIO GELSOMINI, 25: 2:41.8784196:12.4781322
HOTEL SKY ROMA: VIA NAPOLEONE III, 75: 2:41.89631:12.50273
HOTEL STAR: VIA SALARIA, 21,5: 3:41.9194052:12.4981895
HOTEL TEATRO DI POMPEO: LARGO DEL PALLARO, 7: 3:41.895511:12.4737802
HOTEL TERMINI: VIA GIOVANNI AMENDOLA, 77: 2:41.8997195:12.5002673
HOTEL TRE STELLE: VIA SAN MARTINO DELLA BATTAGLIA, 11: 2:41.9054472:12.5044599
HOTEL TRECENTO: VIA DEL CORSO, 300: 3:41.8972686:12.4818876
HOTEL VALERI: LARGO DELL'AMBA ARADAM, 3: 3:41.8850308:12.5020203
HOTEL VENETO VENETO: VIA PIEMONTE, 63: 4:41.9086:12.49342
HOTEL VILLA MORGAGNI: VIA GIOVANNI BATTISTA MORGAGNI, 25: 4:41.9100842:12.5110948
HOTEL VILLA PAMPHILI: VIA DELLA NOCETTA, 105: 4:41.8827601:12.4326565
HOTEL VILLA PATRIZI: VIA DI VILLA PATRIZI, 20: 3:41.9098564:12.507157
HOTEL VILLA TORLONIA: VIA BARTOLOMEO EUSTACHIO, 3: 4:41.9117067:12.5090455
HOTEL 53: VIA DI S. BASILIO, 53: 3:41.9048991:12.4897541
I CASALI O.C.  HOTEL - DIPENDENZA: VIA TIBURTINA, 1356: 4:41.93794:12.62047
I CASALI O.C. HOTEL: VIA TIBURTINA, 1352: 4:41.937299:12.618072
I TRIANGOLI: VIA ERMANNO WOLF FERRARI, 285: 4:41.7516292:12.3723662
IBIS ROMA FIERA: VIA ARTURO MERCANTI, 63: 3:41.8222543:12.3938602
IDEA HOTEL ROMA NOMENTANA: VIA ATTILIO BENIGNI, 7: 3:41.9302258:12.5605038
IDEA HOTEL ROMA Z3: VIA GIORGIO PERLASCA, 13-15: 4:44.9970766:11.1174823
IGEA: VIA PRINCIPE AMEDEO, 97: 3:41.8980236:12.501504
IL CANTICO: VIA DEL COTTOLENGO, 50: 3:41.8971127:12.4488396
IL CASTELLETTO: VIA DEI CARRARESI, 27/29: 1:41.8814755:12.4241437
IL MONASTERO: VIA SALARIA, 1970: 2:42.0549355:12.5783748
IL PAPAVERO: VIA CASTELFIDARDO, 50: 1:41.9066014:12.5009598
IL VILLINO HOTEL: VIA NICOLO' TOMMASEO, 4/6: 3:41.9669788:12.7635178
IMPERIALE: VIA VITTORIO VENETO, 24: 4:41.90495:12.48804
IMPERO: VIA DEL VIMINALE, 19: 3:41.9007944:12.4964878
INFINITY HOTEL: VIA DELLA VITE, 14: 3:41.9033568:12.4798474
INVICTUS: VIA QUINTINO SELLA, 15: 3:41.9070668:12.4966683
IQ HOTEL ROMA: VIA FIRENZE, 8: 4:41.9005243:12.4951553
ISA: VIA CICERONE, 39: 3:41.9069534:12.4689252
ITALIA: VIA VENEZIA, 18: 2:41.899667:12.4929993
IVANHOE: VIA DEI CIANCALEONI, 49: 3:41.8956337:12.4935935
JC HOTEL: VIA DEL FOSSO DI ACQUA ACETOSA OSTIENSE, 43: 4:41.7992206:12.4796941
JOLI: VIA COLA DI RIENZO, 243: 2:41.9071069:12.4615593
JONICO: VIA SILICELLA, 41: 3:41.8627313:12.5988997
JSH HOTEL ROME: VIA DELLA PISANA, 374: 4:41.8689892:12.4121623
JULIA: VIA RASELLA, 29: 3:41.9024991:12.4879131
KAIRE: VIA MAFFEO VEGIO, 18: 3:41.9455222:12.4278509
KATTY: VIA PALESTRO, 35: 1:41.905773:12.5030686
KATTY 2: VIA PALESTRO, 35: 1:41.905773:12.5030686
KENNEDY: VIA FILIPPO TURATI, 62-64: 3:41.8984206:12.5021472
KENNEDY II: VIA FILIPPO TURATI, 62: 2:41.8984598:12.5021748
KENT: VIA REGGIO EMILIA, 71: 3:41.91271:12.5022629
KING: VIA SISTINA, 131: 3:41.9041483:12.4871132
KOLBE HOTEL ROME: VIA DI S. TEODORO, 44: 4:41.8901821:12.4839905
KRISS: VIA TREVISO, 37: 2:41.908107:12.5145659
KRISTI: VIA COLLINA, 24: 3:41.9080958:12.4977113
LA CARAVELLA: LUNGOMARE PAOLO TOSCANELLI, 154: 1:41.7306756:12.2738769
LA FENICE: VIA FRANCESCO CRISPI, 15: 2:41.9033304:12.485444
LA GIOCCA: VIA SALARIA, 1223: 3:41.9876459:12.5111313
LA GIOCCA DIPENDENZA: VIA SALARIA, 1223: 3:41.9876459:12.5111313
LA GIOCCA DIPENDENZA: VIA SALARIA, 1223: 3:41.9876459:12.5111313
LA GRIFFE: VIA NAZIONALE, 13: 4:41.9013866:12.4943311
LA LOCANDA DEL BORGO: VIA NOMENTANA, 1330: 2:41.964549:12.5966926
LA LUMIERE DI PIAZZA DI SPAGNA: VIA BELSIANA, 72: 3:41.9049442:12.4796077
LA MELA HOTEL: VIA ALESSANDRO STOPPATO, 104: 4:41.8460181:12.5956336
LA PERGOLA: VIA DEI PRATI FISCALI, 55: 3:41.9459689:12.5229261
LA RESIDENZA: VIA EMILIA, 22: 4:41.906684:12.4889371
LA RIVA: PIAZZALE MAGELLANO, 22: 3:41.7251:12.29089
LA ROSA: VIA CARLO ALBERTO, 71: 1:41.8954367:12.5025202
LA SCALETTA: LUNGOMARE PAOLO TOSCANELLI, 130: 2:41.7301491:12.275514
LA SIESTA: VIA PONTINA, 507: 1:41.7853899:12.4489075
LA VILLETTA: VIA ETTORE PERRONE, 1: 3:41.8914455:12.5110201
LABELLE: VIA CAVOUR, 310: 2:41.8934816:12.4888467
LACHEA: VIA SAN MARTINO DELLA BATTAGLIA, 11: 2:41.9054472:12.5044599
LADY: VIA GERMANICO, 198: 2:41.9091417:12.463005
LANCELOT: VIA CAPO D'AFRICA, 47: 3:41.8883347:12.4972717
LAURA: VIALE VENTUNO APRILE, 109: 3:41.9142963:12.5207182
LAURENCE: VIA PIETRO BARAGIOLA, 18/24: 3:41.8486847:12.6229368
LAURENTIA: LARGO DEGLI OSCI, 63: 3:41.8973822:12.5140951
LAZIO: VIA VICENZA, 8: 3:41.9027663:12.5023267
LAZZARI: VIA CASTELFIDARDO, 31: 1:41.9064508:12.5007535
LE CLARISSE: VIA DELL'ARCO DELLA CIAMBELLA, 19: 3:41.8968455:12.4769666
LE PETIT: VIA TORINO, 122: 3:41.9016635:12.4955409
LE PETIT DEPENDANCE: VIA TORINO, 122: 3:41.9016635:12.4955409
LELLA: VIA PALESTRO, 9: 2:41.9076724:12.5007033
LEON'S PLACE HOTEL IN ROME: VIA VENTI SETTEMBRE, 90-94: 4:41.9081257:12.4995834
LES CHAMBRES D'OR: VIA DEI GRACCHI, 32: 1:41.9071677:12.4587568
LICIA: VIA PRINCIPE AMEDEO, 76: 1:41.898963:12.5002906
LIGURE: VIA CASTELFIDARDO, 55: 2:41.9054622:12.502215
LILIUM: VIA VENTI SETTEMBRE, 58/A: 3:41.907478:12.4985541
LIVING ROOM: VIA SOLFERINO, 9: 2:41.9036147:12.5013736
LLOYD: VIA ALESSANDRIA, 110/A: 3:41.9120417:12.5030486
LOCANDA CAIROLI: PIAZZA BENEDETTO CAIROLI, 2: 4:41.8933927:12.4750752
LOCANDA SAN PANCRAZIO BOUTIQUE HOTEL: VIA DI PORTA S. PANCRAZIO, 32a: 3:41.8893689:12.4649913
LOCARNO: VIA DELLA PENNA, 22: 3:41.9095638:12.4749104
LODI: VIA ORISTANO, 14: 2:41.8860795:12.5228755
LONDRA & CARGILL: PIAZZA SALLUSTIO, 18: 4:41.9085234:12.4971799
LOUISIANA: VIA FLAVIA, 84: 2:41.9072855:12.4973222
LUCE: VIA MAGENTA, 34: 4:41.90223:12.50403
LUCIA: VIA GIOVANNI AMENDOLA, 77: 1:41.8997195:12.5002673
LUCIANI: VIA MILAZZO, 8: 2:41.9018004:12.5039385
LUCY: VIA MAGENTA, 13: 1:41.9034008:12.5024365
LUDOVISI PALACE: VIA LUDOVISI, 43: 4:41.9070063:12.4882117
LUSSEMBURGO: VIA BIXIO, 70: 2:41.892961:12.5080949
LUX: VIA GAETA, 14: 3:41.9058161:12.5024276
LUZZATTI: VIA LUIGI LUZZATTI, 3: 2:41.8923274:12.5093351
M M HOTEL: VIALE EGEO, 133: 4:41.8286714:12.4539633
MADISON: VIA MARSALA, 60: 3:41.9017893:12.5033592
MADRID: VIA MARIO DE FIORI, 93/95: 3:41.9038006:12.4825327
MAGIC: VIA MILAZZO, 20: 2:41.9021618:12.5045551
MAGIC: VIA MILAZZO, 20: 2:41.9021618:12.5045551
MAJOR AVENTINUS: VIA DI S. ANSELMO, 10: 1:41.88186:12.48003
MALAGA: VIA UDINE, 14: 3:41.9104846:12.5167798
MAMIANI: VIA MAMIANI, 28: 3:41.8962601:12.5050519
MAMIANI: VIA MAMIANI, 28: 3:41.8962601:12.5050519
MANCINI PARK HOTEL: VIA DI VALLERANELLO, 67: 4:41.7944064:12.4556899
MANFREDI: VIA MARGUTTA, 61: 3:41.9073967:12.4808336
MANZONI: VIA BALILLA, 1: 2:41.8933218:12.5113656
MARCANTONIO: VIA CAVOUR, 47: 2:41.8994801:12.4983552
MARC'AURELIO: VIA GREGORIO XI, 135: 4:41.89959:12.4191482
MARCELLA ROYAL HOTEL: VIA FLAVIA, 104: 4:41.9076327:12.4978835
MARCO POLO: VIA MAGENTA, 39/53: 3:41.90231:12.50393
MARCONI: VIA GIOVANNI AMENDOLA, 97: 2:41.8993645:12.5007589
MARECHIARO: VIA GIOBERTI, 30: 2:41.8988934:12.500825
MARGARET: VIA ANTONIO SALANDRA, 6: 2:41.9056403:12.4955343
MARGHERA: VIA MARGHERA, 29: 3:41.90258:12.50383
MARI: VIA PALESTRO, 55: 1:41.9045511:12.5046435
MARI 2: VIA CALATAFIMI, 38-40: 1:41.9051:12.50029
MARIANO: PIAZZA MANFREDO FANTI, 19: 3:41.8975096:12.5032683
MARINI PARK HOTEL: VIA DI CASTEL DI LEVA, 258: 3:41.7880141:12.5161323
MARIO DE' FIORI: VIA MARIO DE FIORI, 37/C: 2:41.9062078:12.4807103
MARISA: VIA MARSALA, 98: 3:41.9011576:12.5043355
MARRIOTT GRAND HOTEL FLORA: VIA VITTORIO VENETO, 191: 4:41.9091033:12.4887937
MARSALA: VIA MARSALA, 36: 2:41.902688:12.5020146
MARTINI: VIA NAZIONALE, 18: 3:41.9010195:12.4937537
MARTINO AI MONTI: VIA DOMENICHINO, 7: 1:41.8954599:12.4990733
MARVI: VIA PIETRO DELLA VALLE, 13: 1:41.9047455:12.4648053
MARYELEN: VIA PRINCIPE AMEDEO, 85/A: 1:41.8982061:12.5012212
MARYELEN & GIOVY: VIA PRINCIPE AMEDEO, 87/B: 2:41.898175:12.5012665
MASCAGNI: VIA VITTORIO EMANUELE ORLANDO, 90: 4:41.9038548:12.4947912
MASSIMO D'AZEGLIO: VIA CAVOUR, 18: 4:41.900288:12.4990715
MAX: VIA GIOBERTI, 30: 3:41.8988934:12.500825
MAXIMO: VIA GIOVANNI DELLA PENNA, 57/59: 3:41.7784562:12.3417076
MECENATE PALACE HOTEL: VIA CARLO ALBERTO, 3-3/A: 4:41.8967923:12.4998814
MEDICI: VIA FLAVIA, 96: 3:41.9074938:12.4976831
MEDITERRANEO: VIA CAVOUR, 15: 4:41.9003347:12.4990465
MEETING: VIA LUCIO MARIANI, 52/A: 3:41.8225723:12.5825868
MELIA' ROMA: VIA DEGLI ALDOBRANDESCHI, 223: 4:41.87655:12.39391
MEMPHIS: VIA DEGLI AVIGNONESI, 36/A: 4:41.9027738:12.4863548
MERCURE EUR ROMA WEST: VIALE DEGLI EROI DI CEFALONIA, 301: 4:41.785388:12.43547
MERCURE HOTEL DELTA COLOSSEO: VIA LABICANA, 144: 4:41.8900266:12.498182
MERCURE ROMA CORSO TRIESTE: VIA GRADISCA, 29: 3:41.92068:12.51371
MERCURE ROMA PIAZZA BOLOGNA: VIA REGGIO CALABRIA, 54: 3:41.912224:12.5185348
MERIDIANA: VIA CALATAFIMI, 38: 2:41.9050988:12.5003104
METRO: VIA DI REBIBBIA, 18: 3:41.9244484:12.5696905
MF HOTEL: VIA SAVOIA, 44: 3:41.9129162:12.4990493
MIAMI: VIA NAZIONALE, 230: 3:41.90084:12.49343
MICHIGAN - Chiuso: VIA NAZIONALE, 66: 2:41.8993337:12.4913465
MIDI: VIA GIOVANNI GIOLITTI, 415: 2:41.8934551:12.5120079
MILANI: VIA MAGENTA, 12: 3:41.903393:12.5026281
MILAZZO: VIA MILAZZO, 3: 2:41.9017639:12.5041036
MILLEROSE: VIA DANIELE MANIN, 58: 1:41.898911:12.499262
MILO: VIA PRINCIPE AMEDEO, 76: 3:41.898963:12.5002906
MILTON ROMA: VIA EMANUELE FILIBERTO, 155: 4:41.8905394:12.5063958
MIMOSA: VIA DI S. CHIARA, 61: 1:41.8981637:12.4757531
MIRAGE: VIA MILAZZO, 4-6-8: 2:41.9016793:12.503704
MODERNO: VIA ATTILIO VERDIROSI, 27: 2:42.0685551:12.3342764
MODERNO II: VIA AMILCARE PAOLUCCI, 8-6B: 3:42.0682689:12.3336496
MON REPOS: VIA DELLA STAZIONE DI CESANO, 330: 2:42.0622852:12.3270297
MONACO: VIA FLAVIA, 84: 1:41.9072855:12.4973222
MONDIAL: VIA TORINO, 127: 4:41.901439:12.4957376
MONTECARLO: VIA PALESTRO, 17/A: 3:41.9069754:12.5016979
MONTEROSA: VIA ALFREDO CAPPELLINI, 46: 1:41.8974447:12.5047705
MONTEVERDE E AUSTRIA: VIA DI MONTE VERDE, 86: 2:41.8713147:12.4491802
MONTREAL: VIA CARLO ALBERTO, 4: 3:41.8965808:12.5009919
MORGANA: VIA FILIPPO TURATI, 27-37: 4:41.8988444:12.5017619
MOSCATELLO: VIA PRINCIPE EUGENIO, 51: 1:41.8937338:12.5079875
MOTEL AGIP: VIA AURELIA, Km8,4: 4:41.8723889:12.4801802
MOTEL BOOMERANG: VIA DEGLI ARLOTTI, 20: 2:41.8832913:12.378105
MOTEL SALARIA: VIA SALARIA, 1256: 3:41.99218:12.51401
MOZART: VIA DEI GRECI, 23/B: 4:41.9073:12.47801
MYOSOTIS: PIAZZA PUPINIA, 2: 4:41.861462:12.6407493
NAPOLEON: PIAZZA VITTORIO EMANUELE II, 105: 4:41.8940161:12.5040263
NARDIZZI AMERICANA: VIA FIRENZE, 38: 2:41.9031811:12.4931916
